Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Malmö,major_city,55.605,13.0038,2.0,3.0,2.3,4.4,5.0,0.0,8.0
Sweden,Linköping,city,58.4108,15.6214,1.1,2.6,1.9,1.7,3.0,0.0,7.9
Sweden,Örebro,city,59.2753,15.2134,1.2,3.2,2.4,1.6,2.5,0.0,8.0
Sweden,Gothenburg,major_city,57.7089,11.9746,2.3,3.5,3.0,2.5,3.0,0.0,8.0
Sweden,Jönköping,city,57.7826,14.1618,1.4,3.2,2.5,1.4,3.1,0.0,8.0
Sweden,Västerås,city,59.6099,16.5448,0.9,2.7,2.0,2.0,2.9,0.0,7.9
Sweden,Helsingborg,city,56.0465,12.6945,2.1,2.6,2.3,5.0,5.9,0.0,8.0
Sweden,Norrköping,city,58.5877,16.1924,1.3,3.1,2.2,1.6,2.4,0.0,7.9
Sweden,Stockholm,major_city,59.3293,18.0686,2.0,3.2,2.3,2.6,4.0,0.0,8.0
Sweden,Uppsala,city,59.8586,17.6389,1.1,2.5,1.9,2.7,4.2,0.0,8.0
Sweden,Luleå,hydro_region,65.5848,22.1547,-2.6,0.8,-0.6,3.8,6.6,0.7,5.0
Sweden,Kiruna,hydro_region,67.8558,20.2253,-6.6,-3.4,-5.2,1.9,2.9,2.1,7.7
Sweden,Umeå,hydro_region,63.8258,20.263,-0.9,2.2,0.8,3.1,5.3,0.0,2.6
Sweden,Östersund,hydro_region,63.1792,14.6357,-6.1,0.9,-2.1,2.1,3.2,0.0,1.9
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,1.2,2.1,1.7,3.2,4.3,0.0,8.0
Sweden,Sundsvall,hydro_region,62.3908,17.3069,-2.3,2.7,0.8,3.8,5.3,0.0,2.3
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,1.6,2.8,2.2,2.0,2.9,0.0,8.0
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,2.5,3.2,2.9,3.2,4.1,0.0,8.0
Sweden,Gällivare,hydro_region,67.1355,20.667,-3.9,-1.8,-3.1,2.6,4.5,1.4000000000000004,7.7
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,2.3,3.7,3.0,3.5,4.5,0.0,8.0
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,2.1,3.5,2.7,2.9,3.5,0.0,8.0
Sweden,Sandviken,industrial,60.616,16.7709,-1.0,3.1,1.4,2.1,3.8,0.0,7.3
Sweden,Borlänge,industrial,60.4858,15.4371,-1.5,2.6,0.8,1.3,3.1,0.0,7.1
Sweden,Trollhättan,industrial,58.2837,12.2886,1.7,2.7,2.3,1.4,2.2,0.0,8.0
Norway,Tromsø,hydro_region,69.6492,18.9553,-6.8,2.6,-2.1,3.8,7.0,0.9,7.1
Norway,Bergen,major_city,60.3913,5.3221,3.0,5.7,4.3,2.8,4.6,0.0,6.3
Norway,Trondheim,major_city,63.4305,10.3951,-2.3,3.0,1.0,3.3,5.0,0.0,2.6
Norway,Stavanger,major_city,58.97,5.7331,4.7,6.4,5.6,2.1,3.9,1.9000000000000001,7.8
Norway,Kristiansand,hydro_region,58.1599,8.0182,2.3,4.0,3.5,3.2,4.3,1.5000000000000004,7.8
Norway,Ålesund,hydro_region,62.4722,6.1549,3.2,4.8,4.0,3.7,4.3,0.2,2.9
Norway,Bodø,hydro_region,67.2804,14.4049,1.2,5.7,3.9,4.5,7.7,4.4,8.0
Norway,Oslo,major_city,59.9139,10.7522,1.3,2.1,1.7,1.9,2.8,0.30000000000000004,7.4
Finland,Espoo,major_city,60.2055,24.6559,-4.8,-0.0,-1.8,4.4,4.9,0.6,8.0
Finland,Turku,major_city,60.4518,22.2666,-0.2,2.6,1.6,3.8,6.6,0.9,7.9
Finland,Helsinki,major_city,60.1699,24.9384,-4.3,0.3,-1.5,6.9,7.7,0.0,8.0
Finland,Loviisa,nuclear,60.3681,26.3581,-4.9,-0.2,-2.4,7.5,8.5,0.1,8.0
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,-1.3,-0.0,-0.5,3.8,4.9,3.6,8.0
Finland,Oulu,major_city,65.0121,25.4651,-1.1,1.2,0.2,5.7,6.8,2.2,6.8
Finland,Tampere,major_city,61.4978,23.761,-2.6,0.8,-0.3,4.1,5.1,0.4,8.0
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,1.1,2.2,1.6,3.7,6.3,0.2,8.0
Finland,Vaasa,wind_region,63.096,21.6158,0.2,2.3,1.4,5.0,7.6,0.9000000000000001,4.4
Denmark,Copenhagen,major_city,55.6761,12.5683,2.0,3.1,2.4,4.5,5.1,0.0,8.0
Denmark,Aalborg,major_city,57.0488,9.9187,0.9,2.5,1.8,5.1,6.2,0.5,8.0
Denmark,Esbjerg,wind_region,55.4669,8.4597,2.1,4.8,3.5,6.4,7.8,0.0,7.9
Denmark,Ringkøbing,wind_region,56.0905,8.244,1.8,5.0,3.8,6.2,7.0,0.30000000000000004,8.0
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,2.6,3.7,3.0,5.3,6.5,0.0,8.0
Denmark,Odense,major_city,55.4038,10.4024,1.7,3.7,2.5,4.4,5.3,0.0,8.0
Denmark,Aarhus,major_city,56.1629,10.2039,1.5,3.4,2.4,4.6,5.7,0.2,8.0
